stationid,stationname,platforms
940GZZDLALL,All Saints,Platform 1/Platform 2
940GZZDLBNK,Bank,Platform 9/Platform 10
940GZZDLBEC,Beckton,Platform 1/Platform 2
940GZZDLBPK,Beckton Park,Platform 1/Platform 2
940GZZDLBLA,Blackwall,Platform 1/Platform 2
940GZZDLBOW,Bow Church,Platform 1/Platform 2
940GZZDLCAN,Canary Wharf,Platform 1/Platform 3/Platform 5
940GZZDLCGT,Canning Town,Platform 3/Platform 4
940GZZDLCLA,Crossharbour,Platform 1/Platform 2
940GZZDLCUS,Custom House,Platform 3/Platform 4
940GZZDLCUT,Cutty Sark,Platform 1/Platform 2
940GZZDLCYP,Cyprus,Platform 1/Platform 2
940GZZDLDEP,Deptford Bridge,Platform 1/Platform 2
940GZZDLDEV,Devons Road,Platform 1/Platform 2
940GZZDLEIN,East India,Platform 1/Platform 2
940GZZDLELV,Elverson Road,Platform 1/Platform 2
940GZZDLGAL,Gallions Reach,Platform 1/Platform 2
940GZZDLGRE,Greenwich,Platform 3/Platform 4
940GZZDLHEQ,Heron Quays,Platform 1/Platform 2
940GZZDLISL,Island Gardens,Platform 1/Platform 2
940GZZDLKGV,King George V,Platform 1/Platform 2
940GZZDLLDP,Langdon Park,Platform 1/Platform 2
940GZZDLLEW,Lewisham,Platform 5/Platform 6
940GZZDLLIM,Limehouse,Platform 3/Platform 4
940GZZDLLCA,London City Airport,Platform 1/Platform 2
